ID,Rooms,Area,Price,Afdeling,Adresse,Postnummer,Googlemaps,X koordinate,Y koordinate,Bolig link,Price/Area
10,2 vær.,62,5450,Afd. 24 Kirkedammen,Kirkedammen 11-29,8000 Århus C,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1398830100000000,10.1786184300000000",10.17861843,56.13988301,https://aarhusbolig.dk/afdelinger/?bolignr=7&selskab=31&afdeling=24&antalrum=2,87.90322580645162
11,3 vær.,82,6643,Afd. 24 Kirkedammen,Kirkedammen 11-29,8000 Århus C,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1398830100000000,10.1786184300000000",10.17861843,56.13988301,https://aarhusbolig.dk/afdelinger/?bolignr=6&selskab=31&afdeling=24&antalrum=3,81.01219512195122
12,4 vær.,93,6909,Afd. 24 Kirkedammen,Kirkedammen 11-29,8000 Århus C,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1398830100000000,10.1786184300000000",10.17861843,56.13988301,https://aarhusbolig.dk/afdelinger/?bolignr=51&selskab=31&afdeling=24&antalrum=4,74.29032258064517
13,3 vær.,92,7273,Afd. 26 Vestre Ringgade/Gustav Wieds Vej,"Vestre Ringgade 188-190, Gustav Wieds Vej 11",8000 Århus C,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1682788100000000,10.1927804900000000",10.19278049,56.16827881,https://aarhusbolig.dk/afdelinger/?bolignr=26&selskab=31&afdeling=26&antalrum=3,79.05434782608695
14,4 vær.,110,8291,Afd. 26 Vestre Ringgade/Gustav Wieds Vej,"Vestre Ringgade 188-190, Gustav Wieds Vej 11",8000 Århus C,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1682788100000000,10.1927804900000000",10.19278049,56.16827881,https://aarhusbolig.dk/afdelinger/?bolignr=1&selskab=31&afdeling=26&antalrum=4,75.37272727272727
15,1 vær.,45,3387,Afd. 33 Vestre Ringgade/Gustav Wieds Vej,"Vestre Ringgade 192-194, Gustav Wieds Vej 7-9",8000 Århus C,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1683265900000000,10.1931238200000000",10.19312382,56.16832659,https://aarhusbolig.dk/afdelinger/?bolignr=2&selskab=31&afdeling=33&antalrum=1,75.26666666666667
16,2 vær.,83,6366,Afd. 33 Vestre Ringgade/Gustav Wieds Vej,"Vestre Ringgade 192-194, Gustav Wieds Vej 7-9",8000 Århus C,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1683265900000000,10.1931238200000000",10.19312382,56.16832659,https://aarhusbolig.dk/afdelinger/?bolignr=1&selskab=31&afdeling=33&antalrum=2,76.6987951807229
17,3 vær.,89,6745,Afd. 33 Vestre Ringgade/Gustav Wieds Vej,"Vestre Ringgade 192-194, Gustav Wieds Vej 7-9",8000 Århus C,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1683265900000000,10.1931238200000000",10.19312382,56.16832659,https://aarhusbolig.dk/afdelinger/?bolignr=3&selskab=31&afdeling=33&antalrum=3,75.78651685393258
18,4 vær.,106,8466,Afd. 33 Vestre Ringgade/Gustav Wieds Vej,"Vestre Ringgade 192-194, Gustav Wieds Vej 7-9",8000 Århus C,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1683265900000000,10.1931238200000000",10.19312382,56.16832659,https://aarhusbolig.dk/afdelinger/?bolignr=36&selskab=31&afdeling=33&antalrum=4,79.86792452830188
19,2 vær.,69,6967,Afd. 36 Hallssti,Hallssti 19-21,8000  Århus C,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1486095400000000,10.1985955200000000",10.19859552,56.14860954,https://aarhusbolig.dk/afdelinger/?bolignr=2801&selskab=31&afdeling=36&antalrum=2,100.97101449275362
20,3 vær.,86,8543,Afd. 36 Hallssti,Hallssti 19-21,8000  Århus C,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1486095400000000,10.1985955200000000",10.19859552,56.14860954,https://aarhusbolig.dk/afdelinger/?bolignr=2800&selskab=31&afdeling=36&antalrum=3,99.33720930232558
21,4 vær.,108,5944,Afd. 54 Norsgade,Norsgade 7 E,8000 Århus C,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1608233600000000,10.2076935800000000",10.20769358,56.16082336,https://aarhusbolig.dk/afdelinger/?bolignr=1&selskab=31&afdeling=54&antalrum=4,55.03703703703704
22,1 vær.,29,3189,Afd. 05 Rosengården,Silkeborgvej,8000  Århus C.,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1563962000000000,10.1850783000000000",10.1850783,56.1563962,https://aarhusbolig.dk/afdelinger/?bolignr=60&selskab=45&afdeling=5&antalrum=1,109.96551724137932
23,2 vær.,61,5476,Afd. 05 Rosengården,Silkeborgvej,8000  Århus C.,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1563962000000000,10.1850783000000000",10.1850783,56.1563962,https://aarhusbolig.dk/afdelinger/?bolignr=8&selskab=45&afdeling=5&antalrum=2,89.77049180327869
24,3 vær.,60,6029,Afd. 05 Rosengården,Silkeborgvej,8000  Århus C.,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1563962000000000,10.1850783000000000",10.1850783,56.1563962,https://aarhusbolig.dk/afdelinger/?bolignr=54&selskab=45&afdeling=5&antalrum=3,100.48333333333333
25,3 vær.,70,8006,Afd. 05 Rosengården,Silkeborgvej,8000  Århus C.,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1563962000000000,10.1850783000000000",10.1850783,56.1563962,https://aarhusbolig.dk/afdelinger/?bolignr=132&selskab=45&afdeling=5&antalrum=3,114.37142857142857
26,3 vær.,75,7023,Afd. 05 Rosengården,Silkeborgvej,8000  Århus C.,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1563962000000000,10.1850783000000000",10.1850783,56.1563962,https://aarhusbolig.dk/afdelinger/?bolignr=3&selskab=45&afdeling=5&antalrum=3,93.64
27,3 vær.,88,9362,Afd. 05 Rosengården,Silkeborgvej,8000  Århus C.,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1563962000000000,10.1850783000000000",10.1850783,56.1563962,https://aarhusbolig.dk/afdelinger/?bolignr=130&selskab=45&afdeling=5&antalrum=3,106.38636363636364
28,4 vær.,103,10458,Afd. 05 Rosengården,Silkeborgvej,8000  Århus C.,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1563962000000000,10.1850783000000000",10.1850783,56.1563962,https://aarhusbolig.dk/afdelinger/?bolignr=131&selskab=45&afdeling=5&antalrum=4,101.53398058252426
29,2 vær.,66,6281,Afd. 11 Holbergsgade,Holbergsgade,8000  Århus C.,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1476060000000000,10.1955501000000000",10.1955501,56.147606,https://aarhusbolig.dk/afdelinger/?bolignr=10&selskab=45&afdeling=11&antalrum=2,95.16666666666667
30,2 vær.,84,8350,Afd. 11 Holbergsgade,Holbergsgade,8000  Århus C.,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1476060000000000,10.1955501000000000",10.1955501,56.147606,https://aarhusbolig.dk/afdelinger/?bolignr=7&selskab=45&afdeling=11&antalrum=2,99.4047619047619
31,1 vær.,67,8561,Afd. 13 Wilstersgade,Wilstersgade,8000  Århus C.,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1479933000000000,10.1947112000000000",10.1947112,56.1479933,https://aarhusbolig.dk/afdelinger/?bolignr=16&selskab=45&afdeling=13&antalrum=1,127.77611940298507
32,2 vær.,70,7188,Afd. 22 Sonnesgården,,8000 Århus C,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1510415000000000,10.1935344000000000",10.1935344,56.1510415,https://aarhusbolig.dk/afdelinger/?bolignr=5503&selskab=214&afdeling=22&antalrum=2,102.68571428571428
33,2 vær.,70,6546,Afd. 22 Sonnesgården,,8000 Århus C,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1510415000000000,10.1935344000000000",10.1935344,56.1510415,https://aarhusbolig.dk/afdelinger/?bolignr=5518&selskab=214&afdeling=22&antalrum=2,93.51428571428572
34,2 vær.,86,7043,Afd. 22 Sonnesgården,,8000 Århus C,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1510415000000000,10.1935344000000000",10.1935344,56.1510415,https://aarhusbolig.dk/afdelinger/?bolignr=5547&selskab=214&afdeling=22&antalrum=2,81.8953488372093
35,2 vær.,89,8533,Afd. 22 Sonnesgården,,8000 Århus C,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1510415000000000,10.1935344000000000",10.1935344,56.1510415,https://aarhusbolig.dk/afdelinger/?bolignr=5546&selskab=214&afdeling=22&antalrum=2,95.87640449438203
36,3 vær.,111,9772,Afd. 22 Sonnesgården,,8000 Århus C,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1510415000000000,10.1935344000000000",10.1935344,56.1510415,https://aarhusbolig.dk/afdelinger/?bolignr=5585&selskab=214&afdeling=22&antalrum=3,88.03603603603604
37,1 vær.,50,6322,Afd. 29 Valdemarsgade,Valdemars Have 10-20,8000,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1517246500000000,10.1963234000000000",10.1963234,56.15172465,https://aarhusbolig.dk/afdelinger/?bolignr=5280&selskab=214&afdeling=29&antalrum=1,126.44
38,2 vær.,59,6375,Afd. 29 Valdemarsgade,Valdemars Have 10-20,8000,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1517246500000000,10.1963234000000000",10.1963234,56.15172465,https://aarhusbolig.dk/afdelinger/?bolignr=5288&selskab=214&afdeling=29&antalrum=2,108.05084745762711
39,3 vær.,95,10938,Afd. 29 Valdemarsgade,Valdemars Have 10-20,8000,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1517246500000000,10.1963234000000000",10.1963234,56.15172465,https://aarhusbolig.dk/afdelinger/?bolignr=5281&selskab=214&afdeling=29&antalrum=3,115.13684210526316
40,3 vær.,104,11436,Afd. 29 Valdemarsgade,Valdemars Have 10-20,8000,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1517246500000000,10.1963234000000000",10.1963234,56.15172465,https://aarhusbolig.dk/afdelinger/?bolignr=5279&selskab=214&afdeling=29&antalrum=3,109.96153846153847
41,2 vær.,75,8895,Afd. 31 Havnehusene,,8000 Aarhus C,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1650551000000000,10.2227872000000000",10.2227872,56.1650551,https://aarhusbolig.dk/afdelinger/?bolignr=5827&selskab=214&afdeling=31&antalrum=2,118.6
42,2 vær.,82,8895,Afd. 31 Havnehusene,,8000 Aarhus C,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1650551000000000,10.2227872000000000",10.2227872,56.1650551,https://aarhusbolig.dk/afdelinger/?bolignr=5840&selskab=214&afdeling=31&antalrum=2,108.47560975609755
43,2 vær.,95,10013,Afd. 31 Havnehusene,,8000 Aarhus C,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1650551000000000,10.2227872000000000",10.2227872,56.1650551,https://aarhusbolig.dk/afdelinger/?bolignr=5828&selskab=214&afdeling=31&antalrum=2,105.4
44,3 vær.,90,9690,Afd. 31 Havnehusene,,8000 Aarhus C,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1650551000000000,10.2227872000000000",10.2227872,56.1650551,https://aarhusbolig.dk/afdelinger/?bolignr=5841&selskab=214&afdeling=31&antalrum=3,107.66666666666667
45,3 vær.,95,10252,Afd. 31 Havnehusene,,8000 Aarhus C,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1650551000000000,10.2227872000000000",10.2227872,56.1650551,https://aarhusbolig.dk/afdelinger/?bolignr=5823&selskab=214&afdeling=31&antalrum=3,107.91578947368421
46,3 vær.,108,10272,Afd. 31 Havnehusene,,8000 Aarhus C,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1650551000000000,10.2227872000000000",10.2227872,56.1650551,https://aarhusbolig.dk/afdelinger/?bolignr=5881&selskab=214&afdeling=31&antalrum=3,95.11111111111111
47,4 vær.,124,11012,Afd. 31 Havnehusene,,8000 Aarhus C,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1650551000000000,10.2227872000000000",10.2227872,56.1650551,https://aarhusbolig.dk/afdelinger/?bolignr=5848&selskab=214&afdeling=31&antalrum=4,88.80645161290323
48,3 vær.,60,9308,Afd. 33 Generationernes Hus,Thit Jensens Gade,8000 Aarhus,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1647640000000000,10.2274440000000000",10.227444,56.164764,https://aarhusbolig.dk/afdelinger/?bolignr=3379&selskab=214&afdeling=33&antalrum=3,155.13333333333333
49,3 vær.,84,10878,Afd. 33 Generationernes Hus,Thit Jensens Gade,8000 Aarhus,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1647640000000000,10.2274440000000000",10.227444,56.164764,https://aarhusbolig.dk/afdelinger/?bolignr=3458&selskab=214&afdeling=33&antalrum=3,129.5
50,4 vær.,78,10088,Afd. 33 Generationernes Hus,Thit Jensens Gade,8000 Aarhus,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1647640000000000,10.2274440000000000",10.227444,56.164764,https://aarhusbolig.dk/afdelinger/?bolignr=3392&selskab=214&afdeling=33&antalrum=4,129.33333333333334
51,2 vær.,68,6289,Afd. 01 V. Ringgade m.fl.,Vester Ringgade 72-82 m.fl.,8000  Århus C.,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1599430000000000,10.1837120000000000",10.183712,56.159943,https://aarhusbolig.dk/afdelinger/?bolignr=8010&selskab=289&afdeling=1&antalrum=2,92.48529411764706
52,2 vær.,68,6739,Afd. 01 V. Ringgade m.fl.,Vester Ringgade 72-82 m.fl.,8000  Århus C.,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1599430000000000,10.1837120000000000",10.183712,56.159943,https://aarhusbolig.dk/afdelinger/?bolignr=8015&selskab=289&afdeling=1&antalrum=2,99.1029411764706
53,2 vær.,79,7346,Afd. 01 V. Ringgade m.fl.,Vester Ringgade 72-82 m.fl.,8000  Århus C.,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1599430000000000,10.1837120000000000",10.183712,56.159943,https://aarhusbolig.dk/afdelinger/?bolignr=8024&selskab=289&afdeling=1&antalrum=2,92.9873417721519
54,2 vær.,84,7869,Afd. 01 V. Ringgade m.fl.,Vester Ringgade 72-82 m.fl.,8000  Århus C.,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1599430000000000,10.1837120000000000",10.183712,56.159943,https://aarhusbolig.dk/afdelinger/?bolignr=8008&selskab=289&afdeling=1&antalrum=2,93.67857142857143
55,3 vær.,92,8466,Afd. 01 V. Ringgade m.fl.,Vester Ringgade 72-82 m.fl.,8000  Århus C.,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1599430000000000,10.1837120000000000",10.183712,56.159943,https://aarhusbolig.dk/afdelinger/?bolignr=8002&selskab=289&afdeling=1&antalrum=3,92.02173913043478
56,4 vær.,107,9913,Afd. 01 V. Ringgade m.fl.,Vester Ringgade 72-82 m.fl.,8000  Århus C.,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1599430000000000,10.1837120000000000",10.183712,56.159943,https://aarhusbolig.dk/afdelinger/?bolignr=8022&selskab=289&afdeling=1&antalrum=4,92.64485981308411
57,5 vær.,119,11027,Afd. 01 V. Ringgade m.fl.,Vester Ringgade 72-82 m.fl.,8000  Århus C.,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1599430000000000,10.1837120000000000",10.183712,56.159943,https://aarhusbolig.dk/afdelinger/?bolignr=8050&selskab=289&afdeling=1&antalrum=5,92.66386554621849
58,2 vær.,56,4684,Afd. 02 Viborgvej m.fl.,Viborgvej 37,8000  Århus C.,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1604330000000000,10.1837700000000000",10.18377,56.160433,https://aarhusbolig.dk/afdelinger/?bolignr=203&selskab=289&afdeling=2&antalrum=2,83.64285714285714
59,3 vær.,64,4796,Afd. 02 Viborgvej m.fl.,Viborgvej 37,8000  Århus C.,"https://maps.googleapis.com/maps/api/staticmap?key=AIzaSyAPZi-HwfGiwUjTaeq6rLhvH3yX8wtxDkw&zoom=15&size=600x600&markers=color:blue|label:A |56.1604330000000000,10.1837700000000000",10.18377,56.160433,https://aarhusbolig.dk/afdelinger/?bolignr=205&selskab=289&afdeling=2&antalrum=3,74.9375
